Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.443688154220581	2.3074376583099365	0.001125096227042377	0.09501399099826813	0.005657849367707968	0.0003931083	-0.223043	82.23870849609375	True
3	200	1.3068995475769043	0.185821533203125	0.0008948486647568643	1.8697595805861056e-05	0.0006453131791204214	0.06645259	0.042461522	1.7458283764426596e-05	True
7	400	0.7932250499725342	0.19206452369689941	0.0005978888366371393	1.7709247913444415e-05	0.0005777970072813332	0.11172836	0.055734776	1.7955771909328178e-05	True
11	600	0.23433494567871094	0.16706013679504395	0.0008194186957553029	1.0733145245467313e-05	0.0005504402797669172	0.13549377	0.040856935	1.0941077562165447e-05	True
14	800	1.6395635604858398	0.17502927780151367	0.0010579488007351756	7.081959211063804e-06	0.0005441194516606629	0.1431572	0.013854591	9.688472346169874e-06	True
18	1000	1.041105031967163	0.20458769798278809	0.0009751457837410271	7.012224159552716e-06	0.0005413168692030013	0.14607586	-0.012970749	7.671740604564548e-06	True
22	1200	0.43558692932128906	0.17749905586242676	0.0007126479176804423	7.352253305725753e-06	0.0005377567140385509	0.147765	-0.017020494	7.12889050191734e-06	True
25	1400	1.703139066696167	0.18697714805603027	0.0006320648826658726	5.9960957514704205e-06	0.000536064151674509	0.15027243	0.001210415	6.262928764044773e-06	True
29	1600	1.1884877681732178	0.18600034713745117	0.000855637772474438	5.9365729612181894e-06	0.0005350857973098755	0.15061721	-0.02031543	6.351942829496693e-06	True
33	1800	2.388237714767456	0.19275975227355957	0.0005921102128922939	7.250479029607959e-06	0.0005335892783477902	0.1522605	-0.0074787554	5.667609912052285e-06	True
37	2000	0.09289383888244629	0.17409753799438477	0.0008797751506790519	5.473980309034232e-06	0.0005326351383700967	0.15284076	-0.005222102	5.474433237395715e-06	True
40	2200	1.3698525428771973	0.16883444786071777	0.0008110004710033536	5.769692052126629e-06	0.0005315518938004971	0.15350144	-0.08142571	5.5697132665955e-06	True
44	2400	0.8531887531280518	0.16978144645690918	0.0006880934233777225	5.750825494033052e-06	0.0005307574174366891	0.15492666	-0.056902505	4.811688086192589e-06	True
48	2600	0.32071757316589355	0.1950664520263672	0.0008023807313293219	5.514385520655196e-06	0.000530616904143244	0.15581548	-0.00090416474	6.065803063393105e-06	True
51	2800	1.7181336879730225	0.1827104091644287	0.0008143006125465035	5.356031579140108e-06	0.0005290043191052973	0.15691288	0.010256238	4.291538061806932e-06	True
55	3000	1.0350890159606934	0.17660808563232422	0.0007407861994579434	4.358571459306404e-06	0.0005284149665385485	0.15757969	-0.00727138	3.961767106375191e-06	True
59	3200	0.49982762336730957	0.17618751525878906	0.000474507047329098	3.2861526051419787e-06	0.0005277544842101634	0.15843448	-0.040418915	4.067993359058164e-06	True
62	3400	1.776242971420288	0.1658327579498291	0.0008136631804518402	3.152651743221213e-06	0.0005271548870950937	0.15919128	-0.008745203	4.132722096983343e-06	True
66	3600	1.271409511566162	0.18691205978393555	0.0007614049827679992	3.2364746402890887e-06	0.0005270705441944301	0.15895882	-0.008390933	3.866328370349947e-06	True
70	3800	0.6998140811920166	0.18036818504333496	0.0008146278560161591	3.790136361203622e-06	0.000526415416970849	0.1595687	-0.026356077	3.625405497587053e-06	True
74	4000	0.16043472290039062	0.18688178062438965	0.0009823894361034036	3.098229171882849e-06	0.0005256793228909373	0.16059206	-0.05208629	3.5210753139836015e-06	True
77	4200	1.4566893577575684	0.15544342994689941	0.0010032891295850277	3.562218353181379e-06	0.0005259340396150947	0.16018072	-0.08230849	3.750006726477295e-06	False
81	4400	0.9809584617614746	0.1858534812927246	0.0006350874318741262	3.5915441003453452e-06	0.0005248364177532494	0.16138457	-0.0043976703	3.5436351026874036e-06	True
85	4600	0.4017617702484131	0.2086946964263916	0.0006234569009393454	3.3615444863244193e-06	0.0005246313521638513	0.16135727	0.0034592377	3.4427498576405924e-06	True
88	4800	1.6334078311920166	0.1821601390838623	0.0008156341500580311	3.4948257052747067e-06	0.0005245027132332325	0.16200323	0.03275674	3.273475840614992e-06	True
92	5000	1.1013071537017822	0.18267536163330078	0.0007770477677695453	4.8180354497162625e-06	0.0005242063198238611	0.16214956	0.037914205	3.1893916911940323e-06	True
96	5200	0.5613629817962646	0.18590307235717773	0.0007501288782805204	2.897715603467077e-06	0.0005241420585662127	0.16186829	0.022907518	3.078471763728885e-06	True
