Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.1982040405273438	2.086747646331787	0.00038637820398434997	0.05924445018172264	0.002289877040311694	0.0036078999	-0.3133886	84.65060424804688	True
0	200	11.03987193107605	1.5359485149383545	0.0003657226625364274	1.982476533157751e-05	0.00023598528059665114	0.078468904	0.04154165	2.6877238269662485e-05	True
0	400	8.09612774848938	1.5348458290100098	0.00032594017102383077	2.2141553927212954e-05	0.00022531513241119683	0.11867534	0.035138283	2.4362136173294857e-05	True
1	600	1.0498580932617188	1.5306403636932373	0.0003722253313753754	2.434203270240687e-05	0.00021214831213001162	0.14620148	0.042812705	2.2067391910240985e-05	True
1	800	8.156918287277222	1.5433845520019531	0.0002593329409137368	1.4751907656318508e-05	0.0002026683505391702	0.1639747	0.024107689	1.8398321117274463e-05	True
1	1000	10.338832378387451	1.5221600532531738	0.0003784431901294738	1.036877711158013e-05	0.0001996245264308527	0.17436379	-0.015442423	1.2871294529759325e-05	True
2	1200	2.044633150100708	1.4950096607208252	0.000295286561595276	1.192051604448352e-05	0.00019833857368212193	0.17825554	-0.025430746	1.1124926459160633e-05	True
2	1400	8.0899977684021	1.5096678733825684	0.0003716013743542135	8.013441401999444e-06	0.00019774727115873247	0.18149692	-0.017732598	9.545567081659101e-06	True
2	1600	8.156972885131836	1.5318870544433594	0.0002890171017497778	8.185749720723834e-06	0.00019701219571288675	0.18403398	-0.0077565727	8.352877557626925e-06	True
3	1800	5.130565881729126	1.5151824951171875	0.0002682895865291357	7.303702659555711e-06	0.00019640769460238516	0.18533812	-0.015007881	7.603845915582497e-06	True
3	2000	8.175426483154297	1.5271563529968262	0.00031122955260798335	4.842600901611149e-06	0.00019590824376791716	0.18813871	-0.011710778	6.901520464452915e-06	True
3	2200	8.118740320205688	1.5307657718658447	0.00034246977884322405	7.0153209890122525e-06	0.00019551004515960813	0.18901302	-0.0034185483	7.008531611063518e-06	True
4	2400	4.078140497207642	1.5190916061401367	0.00038663370651192963	4.149853793933289e-06	0.00019536810577847064	0.19057825	0.004967887	5.1287679525557905e-06	True
4	2600	10.322655200958252	1.6323325634002686	0.0003713280602823943	4.105751031602267e-06	0.00019494585285428911	0.19231904	-0.007362232	5.849868557561422e-06	True
